Ecovillage_Name,Latitude,Longitude,Country,URL_1,URL_2,URL_3,URL_4,URL_5,URL_6,URL_7,URL_8,URL_9,URL_10
Abundance Ecovillage,41.042021,-91.959907,,,,,,,,,,,
Stowe Farm Community,42.702264,-72.775739,,,,,,,,,,,
Ecovillage at Ithaca,42.441648,-76.542637,,,,,,,,,,,
The Garden,36.5982,-85.931557,,,,,,,,,,,
Gita Nagari Eco-Farm and Sanctuary,40.490405,-77.461402,,,,,,,,,,,
The Camphill School,40.136841,-75.707889,,,,,,,,,,,
Hundredfold Farm,39.889294,-77.376676,,,,,,,,,,,
Sawyer Hill Ecovillage,42.372911,-71.626188,,,,,,,,,,,
Moora Moora Co-operative,-37.720704,145.569887,,,,,,,,,,,
The Ecovillage at Currumbin,-28.176828,153.432741,,,,,,,,,,,
Crystal Waters,-26.78553,152.718245,,,,,,,,,,,
Atamai Village,-41.141905,172.956729,,,,,,,,,,,
Narara Ecovillage,-33.392643,151.328289,,,,,,,,,,,
Tui Community,-40.811793,172.957757,,,,,,,,,,,
Wilderland,-36.886277,175.674232,,,,,,,,,,,
Bellbunya Sustainable Community,-26.491096,152.853409,,,,,,,,,,,
Aldinga Arts Ecovillage,-35.265685,138.479025,,,,,,,,,,,
Gulpa Creek Community,-35.722683,144.893102,,,,,,,,,,,
Eco Aldea de los glaciares sagrados – Maras,-13.339833,-72.144032,,,,,,,,,,,
Terra Luminous,-24.02194,-47.068398,,,,,,,,,,,
Ecovilla GAIA – Argentina,-34.947362,-59.337962,,,,,,,,,,,
El Manzano,-37.15607,-72.286233,,,,,,,,,,,
Agrovilla El Prado,4.787184,-75.643927,,,,,,,,,,,
Aldeafeliz Ecovillage,4.987656,-74.279152,,,,,,,,,,,
Peoples Coast Ecovillage Network,13.089183,-16.759665,,,,,,,,,,,
Tlholego Ecovillage and Learning Centre,-25.684519,27.099662,,,,,,,,,,,
Green Village Bali,-8.574186,115.214248,,,,,,,,,,,
Assalam eco-village by the Indian Ocean,-6.448134,39.466153,,,,,,,,,,,
The Sustainability Institute and Lynedoch,-33.982689,18.768245,,,,,,,,,,,
Chisapani Ecovillage Tarebhir,28.20735,83.906688,,,,,,,,,,,
"Ruma Eco Village , Mayagdi Nepal",28.412866,83.384985,,,,,,,,,,,
Suwan organic farmstay,17.671088,102.839151,,,,,,,,,,,
Daruma Ecovillage,13.236989,100.952719,,,,,,,,,,,
Protopia Community,10.593709,-84.841019,,,,,,,,,,,
Eco Aldeia do Vale â€&quot; Instituto Permacultura,38.880436,-9.307763,,,,,,,,,,,
Spoluzemě Vrábsko,49.46448,14.103488,,,,,,,,,,,
Friskoven,55.095061,14.944695,,,,,,,,,,,
Gemeinschaft Sulzbrunn,47.670555,10.384863,,,,,,,,,,,
Eotopia,46.709743,3.681777,,,,,,,,,,,
ComunitÃ  rigenerative,45.994696,12.999064,,,,,,,,,,,
Thabarwa Nature Centre EU,44.703496,8.851423,,,,,,,,,,,
Gut Alaune,51.526603,11.919516,,,,,,,,,,,
Ängsbacka,59.601268,13.700271,,,,,,,,,,,
New Mayapur,47.084388,1.405437,,,,,,,,,,,
Los Guindales,36.566965,-5.278144,,,,,,,,,,,
"Ferme de la Chaux, Goshen",47.218402,4.671591,,,,,,,,,,,
Aletheia Springs,38.394538,-122.550868,,,,,,,,,,,
Entelechy,48.805441,-123.489671,,,,,,,,,,,
Pura Vida Village at Tico Time River Resort,36.98919,-107.87048,,,,,,,,,,,
ReTribe at NorthernShire,44.506074,-72.86514,,,,,,,,,,,
PORTAL XIBALBA: ECO-VILLAGE IN THE JUNGLE OF PLAYA DEL CARMEN,20.699931,-87.06081,,,,,,,,,,,
Emerald Earth Sanctuary,39.025389,-123.292036,,,,,,,,,,,
Maleny Eco Village,-26.758032,152.84838,,,,,,,,,,,
Billen Cliff,-28.612343,153.133824,,,,,,,,,,,
Arca Verde,-29.465191,-50.500893,,,,,,,,,,,
Villa Productiva Agroecológica JANUS,-38.74731,-68.11762,,,,,,,,,,,
Wisdom Forest,-1.055126,-77.895996,,,,,,,,,,,
Bambako Eco Farm / YIRABAH Gambia,13.405483,-15.767966,,,,,,,,,,,
Honeyville Farm,-33.931231,24.764866,,,,,,,,,,,
Yasna Sloboda,54.756701,37.875068,,,,,,,,,,,
Ecovillage Kovcheg,55.061992,36.128649,,,,,,,,,,,
Yeniköy,39.933706,26.165414,,,,,,,,,,,
Serene Eco Village,18.315759,73.624871,,,,,,,,,,,
Tasman Ecovillage,-43.093448,147.742258,,,,,,,,,,,
Patanga,-30.438118,152.694861,,,,,,,,,,,
Ecolieu Argoumbat,43.910315,0.98036,,,,,,,,,,,
Arterra Bizimodu,42.715388,-1.325865,,,,,,,,,,,
Keuruu Ecovillage,62.306323,24.622492,,,,,,,,,,,
Zeleni Kruchi,49.425633,30.869992,,,,,,,,,,,
Damanhur,45.431012,7.757471,,,,,,,,,,,
Soheili Village,26.755264,55.787829,,,,,,,,,,,
Land van Aine,52.867512,7.088633,,,,,,,,,,,
Bali Ecovillage,-8.268028,115.249245,,,,,,,,,,,
Pun Pun,19.214646,99.012448,,,,,,,,,,,
Neot Semadar,30.048671,35.026633,,,,,,,,,,,
Witchcliffe Ecovillage,-34.024552,115.104041,,,,,,,,,,,
Almost Heaven Farms,26.88519,88.043108,,,,,,,,,,,
Baireni Ecovillage,26.981135,86.533428,,,,,,,,,,,
Blue Star Tapovan Trinidad,10.349735,-61.452866,,,,,,,,,,,
Chambalabamba,-4.274831,-79.203292,,,,,,,,,,,
Chanchos de Monte,10.793327,-84.393727,,,,,,,,,,,
Ecovila Piracanga,-14.214697,-38.995034,,,,,,,,,,,
Ecovila Raiz do Anuhmas,-22.791348,-47.05044,,,,,,,,,,,
Ecovila Santa Margarida,-22.789479,-47.069783,,,,,,,,,,,
Ecovillage Pentierebougou,13.086727,-7.940589,,,,,,,,,,,
Jyagdi EcoVillage Chapakot Syangja Nepal,27.93584,83.878329,,,,,,,,,,,
Habiba Community,28.612207,34.557279,,,,,,,,,,,
Habiba Community,28.929031,34.642872,,,,,,,,,,,
Habiba Community,28.509623,34.514068,,,,,,,,,,,
Habiba Community,29.010284,34.670396,,,,,,,,,,,
Fruit Haven EcoVillage Ecuador,-3.204382,-78.434897,,,,,,,,,,,
Fruit Haven EcoVillage Ecuador,-3.727531,-78.52983,,,,,,,,,,,
Fruit Haven EcoVillage Ecuador,-3.405627,-78.58245,,,,,,,,,,,
Fruit Haven EcoVillage Ecuador,-3.527531,-78.52983,,,,,,,,,,,
Valle de Sensaciones,37.01,-2.739901,,,,,,,,,,,
Valle de Sensaciones,37.040521,-2.661636,,,,,,,,,,,
Valle de Sensaciones,37.146121,-3.567734,,,,,,,,,,,
Valle de Sensaciones,36.95727,-3.136732,,,,,,,,,,,
Las Cañadas Bosque de Niebla,19.381856,-97.078764,,,,,,,,,,,
Las Cañadas Bosque de Niebla,19.473477,-96.998428,,,,,,,,,,,
Las Cañadas Bosque de Niebla,19.423259,-97.013185,,,,,,,,,,,
Las Cañadas Bosque de Niebla,19.176892,-96.972307,,,,,,,,,,,
Valdepielagos,40.867064,-3.057009,,,,,,,,,,,
Valdepielagos,40.52927,-3.829909,,,,,,,,,,,
Valdepielagos,40.475278,-3.875856,,,,,,,,,,,
Valdepielagos,40.760722,-3.465693,,,,,,,,,,,
Earthship Greater World Community,36.438188,-105.544605,,,,,,,,,,,
Earthship Greater World Community,36.37896,-105.746606,,,,,,,,,,,
Earthship Greater World Community,35.678588,-105.928746,,,,,,,,,,,
Earthship Greater World Community,36.494782,-105.752179,,,,,,,,,,,
Wind Spirit Community,32.920233,-110.728282,,,,,,,,,,,
Wind Spirit Community,33.119606,-110.705413,,,,,,,,,,,
Wind Spirit Community,32.239667,-110.931139,,,,,,,,,,,
Wind Spirit Community,33.14686,-110.835378,,,,,,,,,,,
TerraSante Village,31.952695,-110.933283,,,,,,,,,,,
TerraSante Village,32.126271,-111.560682,,,,,,,,,,,
TerraSante Village,32.170992,-110.972659,,,,,,,,,,,
TerraSante Village,32.111705,-111.254893,,,,,,,,,,,
Catfarm,43.518894,3.142473,,,,,,,,,,,
Catfarm,43.594831,3.400745,,,,,,,,,,,
Catfarm,43.355072,3.226497,,,,,,,,,,,
Catfarm,43.498233,3.657874,,,,,,,,,,,
Grishino Ecovillage,61.425742,34.439842,,,,,,,,,,,
Grishino Ecovillage,60.973294,34.542661,,,,,,,,,,,
Grishino Ecovillage,60.920762,34.140283,,,,,,,,,,,
Grishino Ecovillage,61.087028,34.0813,,,,,,,,,,,
Hurdal Ecovillage,60.740503,11.36602,,,,,,,,,,,
Hurdal Ecovillage,60.047314,11.567405,,,,,,,,,,,
Hurdal Ecovillage,60.799045,11.074949,,,,,,,,,,,
Hurdal Ecovillage,60.411096,11.052614,,,,,,,,,,,
Nackunga Community,58.921292,17.450216,,,,,,,,,,,
Nackunga Community,59.208488,16.996666,,,,,,,,,,,
Nackunga Community,59.18988,17.813966,,,,,,,,,,,
Nackunga Community,59.024944,17.564475,,,,,,,,,,,
Tuggelite Ecovillage,59.38474,13.047757,,,,,,,,,,,
Tuggelite Ecovillage,59.377628,13.369102,,,,,,,,,,,
Tuggelite Ecovillage,59.391109,13.524578,,,,,,,,,,,
Tuggelite Ecovillage,59.422998,13.438836,,,,,,,,,,,
Ecotopia Romania — Stanciova,45.894688,21.880667,,,,,,,,,,,
Ecotopia Romania — Stanciova,45.796329,22.01053,,,,,,,,,,,
Ecotopia Romania — Stanciova,45.801507,21.246586,,,,,,,,,,,
Ecotopia Romania — Stanciova,45.862744,21.575335,,,,,,,,,,,
Schloss Tempelhof,49.1941,10.369826,,,,,,,,,,,
Schloss Tempelhof,49.175155,10.561528,,,,,,,,,,,
Schloss Tempelhof,49.304795,10.58656,,,,,,,,,,,
Schloss Tempelhof,49.126124,10.206793,,,,,,,,,,,
Possibility Alliance,40.147564,-92.378033,,,,,,,,,,,
Possibility Alliance,40.377446,-92.346357,,,,,,,,,,,
Possibility Alliance,40.194983,-92.576291,,,,,,,,,,,
Possibility Alliance,40.074724,-92.458811,,,,,,,,,,,
Rodnoe (Rodnoye) Settlement,56.140901,40.87087,,,,,,,,,,,
Rodnoe (Rodnoye) Settlement,56.151222,40.766331,,,,,,,,,,,
Rodnoe (Rodnoye) Settlement,56.111858,40.363651,,,,,,,,,,,
Rodnoe (Rodnoye) Settlement,55.915364,40.553046,,,,,,,,,,,
Cloughjordan Ecovillage,52.984386,-7.924957,,,,,,,,,,,
Cloughjordan Ecovillage,53.124284,-7.525888,,,,,,,,,,,
Cloughjordan Ecovillage,52.666186,-8.570831,,,,,,,,,,,
Cloughjordan Ecovillage,52.946515,-8.036953,,,,,,,,,,,
O.U.R Ecovillage,48.69161,-123.603499,,,,,,,,,,,
