quartet_id,ecovillage_name,latitude,longitude,population_documentary,founding_year,koppen_group_workbook,e8_not_urban_at_founding,e10_no_exogenous_shocks,website,existing_control_lat,existing_control_lon
196,Cloughjordan Ecovillage,52.946515,-8.036953,,2009,C,True,TRUE (not GEE-checked; researcher-verified),,52.984386,-7.924957
197,O.U.R Ecovillage,48.640102,-123.610282,,2002,C,True,TRUE (not GEE-checked; researcher-verified),,48.69161,-123.603499
198,Lammas Ecovillage (Tir-y-Gafel),51.934066,-4.623775,,2009,C,True,TRUE (not GEE-checked; researcher-verified),,51.894809,-4.906431
199,Friland,56.280995,10.58589,,2002,D,True,TRUE (not GEE-checked; researcher-verified),,56.400436,10.712567
200,Sadhana Forest Haiti,18.04636,-71.762129,,2010,B,True,TRUE (not GEE-checked; researcher-verified),,18.572554,-72.072359
201,Hockerton Housing Project,53.097341,-0.929501,,1996,C,True,TRUE (not GEE-checked; researcher-verified),,53.277152,-0.79406
202,Den Selvforsynende Landsby (Self-Sufficient Village),55.09841,10.426727,,2004,C,True,TRUE (not GEE-checked; researcher-verified),,55.538228,10.34717
203,Cité Écologique (New Hampshire),44.935101,-71.47749,,2007,D,True,TRUE (not GEE-checked; researcher-verified),,44.810547,-71.884611
204,Brithdir Mawr,52.000928,-4.806572,,1994,C,True,TRUE (not GEE-checked; researcher-verified),,51.946032,-5.087031
205,Permatopia,55.301696,12.19072,,2016,C,True,TRUE (not GEE-checked; researcher-verified),,55.40829,11.88774
206,Sadhana Forest Kenya,0.867336,36.806313,,2014,C,True,TRUE (not GEE-checked; researcher-verified),,0.949224,36.765913
207,Ecodorp Bergen,52.651081,4.693376,,2013,C,True,TRUE (not GEE-checked; researcher-verified),,52.544906,4.980055
208,Eco Truly Park,-11.636889,-77.217187,,1989,B,True,TRUE (not GEE-checked; researcher-verified),,-11.469052,-77.27115
209,Khula Dhamma Community,-32.697527,28.19499,,2002,C,True,TRUE (not GEE-checked; researcher-verified),,-32.728124,28.123413
210,Umphakatsi Peace Ecovillage,-26.132179,30.97823,,2012,C,True,TRUE (not GEE-checked; researcher-verified),,-26.032377,31.049217
211,Green Canvas of Light,-33.982512,22.673458,,2012,C,True,TRUE (not GEE-checked; researcher-verified),,-34.034836,22.236375
212,Agatha Amani House,-0.735154,36.473129,,2014,C,True,TRUE (not GEE-checked; researcher-verified),,-0.787038,36.506111
